timestamp,Red,IR
1760728295.777526,52548.0,65942.0
1760728295.8175783,52621.0,66119.0
1760728295.8575258,52652.0,66175.0
1760728295.8975346,52653.0,66146.0
1760728295.9375699,52642.0,66127.0
1760728295.9775426,52636.0,66165.0
1760728296.0175169,52659.0,66256.0
1760728296.0565135,52695.0,66387.0
1760728296.0963678,52749.0,66541.0
1760728296.1364973,52799.0,66677.0
1760728296.1765225,52836.0,66741.0
1760728296.216502,52850.0,66802.0
1760728296.2565167,52880.0,66902.0
1760728296.2963786,52921.0,66971.0
1760728296.3364806,52894.0,66599.0
1760728296.3765028,52663.0,65794.0
1760728296.416471,52419.0,65367.0
1760728296.4565,52364.0,65410.0
1760728296.496536,52402.0,65542.0
1760728296.5363824,52455.0,65740.0
1760728296.5765097,52546.0,65992.0
1760728296.616484,52608.0,66094.0
1760728296.6564958,52614.0,66084.0
1760728296.6962836,52620.0,66095.0
1760728296.736494,52636.0,66193.0
1760728296.776478,52677.0,66338.0
1760728296.816516,52732.0,66513.0
1760728296.8553681,52789.0,66688.0
1760728296.8953447,52851.0,66839.0
1760728296.9353404,52905.0,66962.0
1760728296.9754431,52950.0,67088.0
1760728297.0153558,52989.0,67216.0
1760728297.0553887,53039.0,67317.0
1760728297.095585,53011.0,66851.0
1760728297.1355639,52748.0,65968.0
1760728297.1753418,52486.0,65539.0
1760728297.215481,52438.0,65574.0
1760728297.255597,52471.0,65703.0
1760728297.295325,52524.0,65936.0
1760728297.3352137,52620.0,66198.0
1760728297.3755245,52697.0,66323.0
1760728297.4154408,52717.0,66357.0
1760728297.4555023,52732.0,66390.0
1760728297.4954724,52750.0,66485.0
1760728297.5354524,52797.0,66632.0
1760728297.5754344,52855.0,66807.0
1760728297.6154702,52914.0,66972.0
1760728297.6554682,52963.0,67120.0
1760728297.6945946,53008.0,67229.0
1760728297.7344568,53049.0,67319.0
1760728297.774439,53091.0,67438.0
1760728297.8142807,53126.0,67473.0
1760728297.854332,53068.0,66917.0
1760728297.8948565,52777.0,65972.0
1760728297.9343479,52516.0,65545.0
1760728297.9742725,52463.0,65566.0
1760728298.0144506,52485.0,65690.0
1760728298.0545025,52539.0,65907.0
1760728298.0944417,52629.0,66143.0
1760728298.1344898,52679.0,66222.0
1760728298.1744256,52692.0,66213.0
1760728298.214143,52688.0,66227.0
1760728298.2544222,52711.0,66302.0
1760728298.2940915,52746.0,66427.0
1760728298.334307,52789.0,66558.0
1760728298.374448,52841.0,66702.0
1760728298.4143589,52887.0,66830.0
1760728298.4542792,52912.0,66894.0
1760728298.4932446,52934.0,66945.0
1760728298.5332534,52957.0,66996.0
1760728298.5734348,52984.0,67053.0
1760728298.6133754,52971.0,66743.0
1760728298.6533957,52750.0,65841.0
1760728298.6934433,52444.0,65245.0
1760728298.733198,52344.0,65221.0
1760728298.7730489,52367.0,65323.0
1760728298.8133023,52406.0,65491.0
1760728298.8533726,52479.0,65750.0
1760728298.8933797,52550.0,65859.0
1760728298.933389,52554.0,65835.0
